query,doc_url,relevant,language,annotator,timestamp,notes
election results 2024,https://en.prothomalo.com/bangladesh/euwgnb9x3q,yes,en,pseudo_auto,2026-01-23T00:49:09.236016,Auto-generated top-3 hybrid
election results 2024,https://en.prothomalo.com/bangladesh/om5xh4d9fc,yes,en,pseudo_auto,2026-01-23T00:49:09.236244,Auto-generated top-3 hybrid
election results 2024,https://www.newagebd.net/post/country/288640/bangladesh-ec-unveils-fresh-roadmap-for-feb-12-national-election,yes,en,pseudo_auto,2026-01-23T00:49:09.236399,Auto-generated top-3 hybrid
politics in Bangladesh,https://en.prothomalo.com/opinion/op-ed/qv8sdn1rdz,yes,en,pseudo_auto,2026-01-23T00:49:09.350862,Auto-generated top-3 hybrid
politics in Bangladesh,https://dailyasianage.com/news/347154/behind-closed-doors-internal-governance-of-political-parties-in-bangladesh,yes,en,pseudo_auto,2026-01-23T00:49:09.351244,Auto-generated top-3 hybrid
politics in Bangladesh,https://en.prothomalo.com/opinion/op-ed/e52b8dal2m,yes,en,pseudo_auto,2026-01-23T00:49:09.351868,Auto-generated top-3 hybrid
education system reform,https://dailyasianage.com/news/229617/changes-in-education-system,yes,en,pseudo_auto,2026-01-23T00:49:09.516947,Auto-generated top-3 hybrid
education system reform,https://www.newagebd.net/post/opinion/278745/shoring-up-primary-education,yes,en,pseudo_auto,2026-01-23T00:49:09.517188,Auto-generated top-3 hybrid
education system reform,https://www.dhakatribune.com/opinion/editorial/397743/education-must-be-the-cornerstone-for-our,yes,en,pseudo_auto,2026-01-23T00:49:09.517311,Auto-generated top-3 hybrid
latest technology trends,https://www.newsbangla24.com/news/264482/Peoples-life-disrupted-by-severe-winter-and-dense-fog,yes,bn,pseudo_auto,2026-01-23T00:49:09.696473,Auto-generated top-3 hybrid
latest technology trends,https://www.dhakapost.com/politics/415131,yes,bn,pseudo_auto,2026-01-23T00:49:09.696758,Auto-generated top-3 hybrid
latest technology trends,https://www.prothomalo.com/religion/islam/ojjgqbsfbl,yes,bn,pseudo_auto,2026-01-23T00:49:09.696906,Auto-generated top-3 hybrid
Dhaka Metro Rail,https://www.dhakatribune.com/bangladesh/dhaka/397890/cloth-on-power-line-halts-dhaka-metro-rail-service,yes,en,pseudo_auto,2026-01-23T00:49:09.883788,Auto-generated top-3 hybrid
Dhaka Metro Rail,https://en.prothomalo.com/bangladesh/city/awdorw5qlv,yes,en,pseudo_auto,2026-01-23T00:49:09.884046,Auto-generated top-3 hybrid
Dhaka Metro Rail,https://www.dhakatribune.com/bangladesh/397869/is-bangladesh%E2%80%99s-public-transport-system-accessible,yes,en,pseudo_auto,2026-01-23T00:49:09.884175,Auto-generated top-3 hybrid
inflation and economy,https://en.bd-pratidin.com/special/2025/12/29/53678,yes,en,pseudo_auto,2026-01-23T00:49:10.077177,Auto-generated top-3 hybrid
inflation and economy,https://en.prothomalo.com/business/local/b7fmxkazna,yes,en,pseudo_auto,2026-01-23T00:49:10.077454,Auto-generated top-3 hybrid
inflation and economy,https://en.bd-pratidin.com/economy/2025/12/07/52276,yes,en,pseudo_auto,2026-01-23T00:49:10.077592,Auto-generated top-3 hybrid
cricket world cup,https://www.dhakatribune.com/sport/cricket/392756/india-pakistan-trade-accusations-after-asia-cup,yes,en,pseudo_auto,2026-01-23T00:49:10.215257,Auto-generated top-3 hybrid
cricket world cup,https://www.newagebd.net/post/cricket/288498/pakistan-team-creates-world-record,yes,en,pseudo_auto,2026-01-23T00:49:10.215591,Auto-generated top-3 hybrid
cricket world cup,https://www.newagebd.net/post/cricket/288664/new-zealand-register-first-odi-series-win-in-india,yes,en,pseudo_auto,2026-01-23T00:49:10.215738,Auto-generated top-3 hybrid
climate change impact,https://dailyasianage.com/news/224766/an-ambitious-year-for-climate-is-a-big--year-for-womens-empowerment,yes,en,pseudo_auto,2026-01-23T00:49:10.366942,Auto-generated top-3 hybrid
climate change impact,https://en.bd-pratidin.com/shuvosangho/2025/12/06/52200,yes,en,pseudo_auto,2026-01-23T00:49:10.367235,Auto-generated top-3 hybrid
climate change impact,https://dailyasianage.com/news/347192/4th-bimstec-meeting-on-environment-and-climate-change-concludes-in-thimphu,yes,en,pseudo_auto,2026-01-23T00:49:10.367398,Auto-generated top-3 hybrid
দ্বাদশ জাতীয় সংসদ নির্বাচন,https://www.prothomalo.com/video/international/be1imwrovp,yes,bn,pseudo_auto,2026-01-23T00:49:10.552777,Auto-generated top-3 hybrid
দ্বাদশ জাতীয় সংসদ নির্বাচন,https://www.kishoralo.com/comics/zu5ruz5hmn,yes,bn,pseudo_auto,2026-01-23T00:49:10.553097,Auto-generated top-3 hybrid
দ্বাদশ জাতীয় সংসদ নির্বাচন,https://www.prothomalo.com/video/international/33n12yt8t4,yes,bn,pseudo_auto,2026-01-23T00:49:10.553281,Auto-generated top-3 hybrid
বাংলাদেশের রাজনীতি,https://www.bd-pratidin.com/sport-news/2025/12/30/1198069,yes,bn,pseudo_auto,2026-01-23T00:49:10.673996,Auto-generated top-3 hybrid
বাংলাদেশের রাজনীতি,https://www.bd-pratidin.com/national/2025/12/02/1186592,yes,bn,pseudo_auto,2026-01-23T00:49:10.674326,Auto-generated top-3 hybrid
বাংলাদেশের রাজনীতি,https://www.kishoralo.com/comics/zu5ruz5hmn,yes,bn,pseudo_auto,2026-01-23T00:49:10.674514,Auto-generated top-3 hybrid
শিক্ষা ব্যবস্থা,https://www.dhakatribune.com/opinion/editorial/397743/education-must-be-the-cornerstone-for-our,yes,en,pseudo_auto,2026-01-23T00:49:10.782716,Auto-generated top-3 hybrid
শিক্ষা ব্যবস্থা,https://www.newagebd.net/post/opinion/278745/shoring-up-primary-education,yes,en,pseudo_auto,2026-01-23T00:49:10.783166,Auto-generated top-3 hybrid
শিক্ষা ব্যবস্থা,https://www.prothomalo.com/chakri/employment/62vw80imtv,yes,bn,pseudo_auto,2026-01-23T00:49:10.783379,Auto-generated top-3 hybrid
শেয়ার বাজার পরিস্থিতি,https://www.bd-pratidin.com/city/2025/12/30/1198075,yes,bn,pseudo_auto,2026-01-23T00:49:10.907385,Auto-generated top-3 hybrid
শেয়ার বাজার পরিস্থিতি,https://www.dhakatribune.com/bangladesh/397899/supply-shortfall-results-in-sudden-onion,yes,en,pseudo_auto,2026-01-23T00:49:10.907728,Auto-generated top-3 hybrid
শেয়ার বাজার পরিস্থিতি,https://www.banglatribune.com/foreign/asia/892709/%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%A8-%E0%A6%B6%E0%A7%81%E0%A6%B2%E0%A7%8D%E0%A6%95-%E0%A6%86%E0%A6%B2%E0%A7%8B%E0%A6%9A%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%B6%E0%A6%BE-%E0%A6%A6%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A3-%E0%A6%AA%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%AC-%E0%A6%8F%E0%A6%B6%E0%A7%80%E0%A7%9F,yes,bn,pseudo_auto,2026-01-23T00:49:10.907939,Auto-generated top-3 hybrid
পদ্মা সেতু,https://www.prothomalo.com/video/bangladesh/cvcyqq6o2e,yes,bn,pseudo_auto,2026-01-23T00:49:11.028828,Auto-generated top-3 hybrid
পদ্মা সেতু,https://www.prothomalo.com/fun/a2umxcqrtb,yes,bn,pseudo_auto,2026-01-23T00:49:11.029177,Auto-generated top-3 hybrid
পদ্মা সেতু,https://www.prothomalo.com/photo/glimpse/m2b26cxtdm,yes,bn,pseudo_auto,2026-01-23T00:49:11.029415,Auto-generated top-3 hybrid
দ্রব্যমূল্যের ঊর্ধ্বগতি,https://www.prothomalo.com/video/bangladesh/qy8el8l6hk,yes,bn,pseudo_auto,2026-01-23T00:49:11.206373,Auto-generated top-3 hybrid
দ্রব্যমূল্যের ঊর্ধ্বগতি,https://www.newsbangla24.com/news/261797/In-Kamalganj-the-short-term-commercial-potential-has-increased-the-investment,yes,bn,pseudo_auto,2026-01-23T00:49:11.206793,Auto-generated top-3 hybrid
দ্রব্যমূল্যের ঊর্ধ্বগতি,https://www.banglatribune.com/business/896558/%E0%A6%8F%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%B2-%E0%A6%AE%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A5%E0%A6%AE-%E0%A7%A8%E0%A7%AF-%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%87-%E0%A6%8F%E0%A6%B2%E0%A7%8B-%E0%A7%A8%E0%A7%AC%E0%A7%A6-%E0%A6%95%E0%A7%8B%E0%A6%9F%E0%A6%BF-%E0%A7%AD%E0%A7%A6-%E0%A6%B2%E0%A6%BE%E0%A6%96,yes,bn,pseudo_auto,2026-01-23T00:49:11.207020,Auto-generated top-3 hybrid
রোহিঙ্গা সংকট,https://www.newsbangla24.com/news/265345/Fire-in-Rohingya-camp-more-than-500-houses-destroyed,yes,bn,pseudo_auto,2026-01-23T00:49:11.327951,Auto-generated top-3 hybrid
রোহিঙ্গা সংকট,https://www.newsbangla24.com/news/264561/Illegal-weapon-attacks-are-raising-fears-ahead-of-polls,yes,bn,pseudo_auto,2026-01-23T00:49:11.328386,Auto-generated top-3 hybrid
রোহিঙ্গা সংকট,https://www.dhakapost.com/international/2935,yes,bn,pseudo_auto,2026-01-23T00:49:11.328684,Auto-generated top-3 hybrid
বাংলাদেশের আবহাওয়া,https://www.bd-pratidin.com/sport-news/2025/12/30/1198069,yes,bn,pseudo_auto,2026-01-23T00:49:11.435145,Auto-generated top-3 hybrid
বাংলাদেশের আবহাওয়া,https://www.kishoralo.com/comics/zu5ruz5hmn,yes,bn,pseudo_auto,2026-01-23T00:49:11.435600,Auto-generated top-3 hybrid
বাংলাদেশের আবহাওয়া,https://www.bd-pratidin.com/national/2025/12/02/1186592,yes,bn,pseudo_auto,2026-01-23T00:49:11.435874,Auto-generated top-3 hybrid
সাইবার নিরাপত্তা,https://www.bd-pratidin.com/tech-world/2025/12/02/1186743,yes,bn,pseudo_auto,2026-01-23T00:49:11.554336,Auto-generated top-3 hybrid
সাইবার নিরাপত্তা,https://www.prothomalo.com/bangladesh/capital/1ken2arcp6,yes,bn,pseudo_auto,2026-01-23T00:49:11.554766,Auto-generated top-3 hybrid
সাইবার নিরাপত্তা,https://www.newsbangla24.com/news/262225/Fraudster-arrested-for-embezzling-crores-of-online-investment-trap,yes,bn,pseudo_auto,2026-01-23T00:49:11.555070,Auto-generated top-3 hybrid
